factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factiry_location_in_city,factory_location_in_town,year_of_establishment
Ramisa's Fashions Ltd.,Woven,5.0,250.0,200,50000,"Shirts ,Jacket ,Pullover ,Pants","185, Baizid Bostami Road, Nasirabad I/A, Chittagong, Chittagong",Chittagong,Chittagong,2004
Rancon Sweaters Ltd.,Sweater,5.0,0.0,340,0,Sweaters,"Plot # 152-153, EPZ Ext. Area, Dhaka, Savar",Dhaka,Savar,2003
RANL Designer Limited,Knit,5.0,500.0,375,45000,"Trousers ,Cargo Pants ,Swim Tranks","CDA Plot # C-49, Sagarika Road, Fouzdarhat, Chittagong","CDA Plot # C-49, Sagarika Road, Fouzdarhat",Chittagong,1996
Ranudi Fashion Apparels Ltd.,Knit,5.0,100.0,250,120000,"T-Shirts ,Polo Shirts ,Tank Tops","Muktijodda Shopping Complex, 1/A, Hajj Camp Road, Dakhin Khan, Dhaka, Uttara",Dhaka,Uttara,2010
Rao Fashion Wear Ltd.,Woven,5.0,193.0,90,24000,"Jackets ,Shirts ,Pants","226/A, Majhirghat Road, Chittagong","226/A, Majhirghat Road,",Chittagong,1997
Rao Garments (Pvt) Ltd. (U-1),Woven,5.0,250.0,115,32000,"Shirts ,Jackets ,Pants","Pedrollo Plaza, 2nd Floor, 5, Jubilee Road, Chittagong","Pedrollo Plaza, 2nd Floor, 5, Jubilee Road",Chittagong,1986
Raozan Sweater Ltd.,Sweater,5.0,695.0,300,72000,"Sweaters ,Cardigans","1236/E, Baker Ali Fakir Tack, 38, South Middle Halishahar, Chittagong, Bandar",Chittagong,Bandar,2003
Rapid Design Ltd.,Woven,5.0,150.0,108,54000,"Shirts ,Pants","Bepari Bari, Dhaka, Uttarkhan",Dhaka,Uttarkhan,2015
Raquef Apparels Washing & Pack.Inds Ltd,woven,5.0,19.0,975,4350000,"Jackets ,Pants","Tetuljhora, Rajfulbaria, Savar, Dhaka","Tetuljhora, Rajfulbaria, Savar",Dhaka,1999
Rashad Industries (Pvt) Ltd.,Woven,5.0,370.0,140,48000,"Jackets ,Trousers","Mahal Complex (8th Floor), 291, Loyal Road, Lal Dighe, Chittagong","Mahal Complex (8th Floor), 291, Loyal Road, Lal Dighe",Chittagong,1998
Rasheda Apparels Limited,Woven,5.0,140.0,88,30000,"Shirts ,Jackets ,Jogging Suits","""M.N. Plaza"", Eidgah, Dhaka Trunk Road, P.O-Bandar, Chittagong, P.S-Doublemooring",Chittagong,P.S-Doublemooring,1995
Ratool Apparels Ltd.,Woven,5.0,600.0,0,125000,"T-Shirts ,Polo Shirts ,Pants","Vanggahati, Gazipur, Gazipur",Gazipur,Gazipur,2011
Ratul Fabrics Ltd.,Knit,5.0,1197.0,639,700000,"T-Shirts ,Polo Shirts ,Leggings ,Trouser","Zohar Sanda, Ashulia, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2005
Ratul Garments,Woven,5.0,300.0,195,160000,"Shirts ,Blouses Dresses ,Vest","318/41 East Goran, Dhaka, Khilgaon",Dhaka,Khilgaon,1995
Ratul Knit Wears Ltd.,Knit,5.0,843.0,409,500000,"T-Shirts ,Polo Shirts ,Tank Tops","CS, SA-41, Zirabo, Dhaka, Dhaka",Dhaka,Dhaka,2002
Rawan Fashion Ltd.,,,,0,80000,"T-Shirts ,Polo Shirts","House # 9/1, block-c, Outpara, Word # 17, Chandona, Gazipur","House # 9/1, block-c, Outpara, Word # 17, Chandona",Gazipur,2016
Razzak Textile Mills Limited,Knit,5.0,230.0,67,100000,"Knitted Garments ,Knit Items","B-5, BSCIC Inds. Estate, Gazipur, Tongi",Gazipur,Tongi,1996
RBSR Fashions Ltd.,Knit,5.0,205.0,133,25000,"T-Shirts ,Polo Shirts","173, Morkun, Pubail Road, Gazipur, Tongi",Gazipur,Tongi,2012
Ready Knit Apparels Ltd.,Knit,5.0,330.0,113,130000,"T-Shirts ,Polo Shirts ,Tank Tops","Hossain Plaza, Dewan Idris Road, Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2008
Reaz Export Apparels Ltd.,Woven,5.0,750.0,200,100000,"Shirts ,Ladies Shirts ,Gir's Shirts","North Khailkoir, K.B. Bazar, Gazipur","North Khailkoir, K.B. Bazar",Gazipur,2001
Recent Fashions Limited,Knit,5.0,170.0,100,60000,"Sweat Shirts ,Polo Shirts ,Jogging Suits ,Pajama Sets","Sweden Plaza, Plot # 2, Block # B, Darus Salam Road, Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,1996
Red & Green Textile Ltd.,Sweater,5.0,1100.0,500,80000,"Sweaters ,Pullovers ,Cardigans","Borabo, Sakashawr, Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2009
Redpoint Jackets Ltd.,Woven,5.0,600.0,400,0,"Jackets ,Pants","Plot # 59-60, Gaus Plaza, Dhaka, Savar",Dhaka,Savar,2000
Redwan Tex & Apparels Ltd.,Woven,5.0,420.0,260,100000,"Jackets ,Trousers ,Capri/Chino ,Cargo Shorts","136/B, Udayan School Road, Mollartek, Dhakkhin Khan, Dhaka, Uttara",Dhaka,Uttara,2012
Reedisha Knitex Ltd.,Knit,5.0,4700.0,1882,187500,"T-Shirts ,Polo Shirts ,Trousers ,Tank Tops","Dhanua, Nayanpur, Gazipur, B. Baria",Gazipur,B. Baria,2004
Reedisha Texstripe Ltd.,Knit,5.0,584.0,424,650000,"T-Shirts ,Polo Shirts","Teknagpara, Gazipur, B. Baria",Gazipur,B. Baria,2015
Refat Garments Ltd.,Woven,5.0,1100.0,447,156000,"Shirts ,Overalls ,Pants","241, Tejgaon I/A, Dhaka, B. Baria",Dhaka,B. Baria,2004
Regal Garments Ltd.,Woven,5.0,295.0,145,52000,"Shirts ,Ladies Blouses ,Trousers","44, New Eskaton Road, Dhaka, Mogbazar",Dhaka,Mogbazar,1991
Regency Garments Ltd.,Woven,5.0,2996.0,2900,5760000,"Bottoms ,Skirts ,Outer Wears ,Jackets","Chittagong Export Processing Zone, Plot # 37-40, Sector # 7, Chittagong, CEPZ",Chittagong,CEPZ,1985
Regency Three Ltd.,Woven,5.0,4998.0,4900,8640000,"Bottoms ,Skirts ,Jackets ,Outer Wears","Plot # 13-18, Sector # 8, Chittagong, CEPZ",Chittagong,CEPZ,2006
Regent Textile Mills Ltd.,Woven,5.0,675.0,270,2500000,"Shirts ,Pants ,Bed Sheet","Central Plaza (2nd Floor), 659, O.R. Nizam Road, Chittagong","Central Plaza (2nd Floor), 659, O.R. Nizam Road",Chittagong,2000
Rehan International Ltd.,Woven,5.0,150.0,100,30000,"Shirts ,Jackets ,Vest","1/C, Sholo Shahar I/A, Bayzid Bastami Road, Chittagong, Nasirabad",Chittagong,Nasirabad,1994
Relatives Fashions Ltd.,Woven,5.0,500.0,250,81667,"Shirts ,Pants","97, Vogra I/A, National University, Gazipur, Joydevpur",Gazipur,Joydevpur,2015
Reliance Apparel Ltd.,Woven,5.0,160.0,85,20000,"Swim Wears ,Pants ,Jackets ,Trousers","C-14, BSCIC I/E, Sagarica Road, Chittagong, Agrabad",Chittagong,Agrabad,1992
Reliance Denim Inds. Ltd.,Knit,5.0,3000.0,622,720000,"T-Shirts ,Polo Shirts ,Shirts ,Jackets","A/1, BSCIC Inds. Estate, Sagorika Road, Chittagong","A/1, BSCIC Inds. Estate, Sagorika Road",Chittagong,2008
Reliance Dresses Ltd.,Knit,5.0,779.0,1013,286000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Biswa Colony (Block # K), Sea World Road, Chittagong, Akbarshah",Chittagong,Akbarshah,2016
Reliant Lingeries Ltd.,Knit,1.0,3.0,300,900000,"T-Shirt ,Polo Shirt","Plot # A-15,16, Bscic Industrial Estate, Kalurghat, Chittagong, Chittagong",Chittagong,Chittagong,2023
Remi Holdings Ltd.,Woven,5.0,5322.0,1500,3000000,"Shirts ,Pants","Plot # 244-245 & 250-251, Narayanganj, Adamjee EPZ",Narayanganj,Adamjee EPZ,2015
Renaissance Apparels Ltd.,Knit,5.0,800.0,260,400000,"T-Shirts ,Polo Shirts ,Legging","C-S Plot # 659 & 660, Mouza # 93, Gazipur, Gazipur Sadar",Gazipur,Gazipur Sadar,2007
Renaissance Barind Lt.,Knit,5.0,3430.0,1171,7500000,"Shirts ,Pants","Plot # 63-68 & 72-77, 2nd Phase of Ishwardi EPZ, Pabna, Pabna Sadar",Pabna,Pabna Sadar,2015
Replica Creations Ltd.,Woven,5.0,0.0,0,0,Pants,"House # 9, Road # 1, Section # 6, Dhaka, Mirpur",Dhaka,Mirpur,2001
Reu Fashion Ltd.,Woven,5.0,660.0,275,124800,"Shirts ,Jackets ,Pants","190, Arambagh, Innercicular Road, Dhaka, Motijheel",Dhaka,Motijheel,2002
Rey-Tex Fashion Wears Ltd.,Woven,5.0,500.0,322,96000,"Shirts ,Blouses","Plot # 13-14, Chiriakhana Road, Mallik Housing (7th Floor), Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,2007
Reza Fashions Ltd.,Woven,5.0,500.0,400,80000,"Jackets ,Pants ,Trousers ,Shorts","Gorat, Ashulia, Dhaka, Savar",Dhaka,Savar,2009
Rezaul Apparels (Pvt.) Ltd.,Woven,5.0,720.0,422,72000,"Shirts ,Ladies Dresses ,Jackets ,Pants","66, Chiriakhana Road, Section # 2, Dhaka, B. Baria",Dhaka,B. Baria,1997
RF Textile Inds. Ltd.,Knit,5.0,450.0,202,300000,"T-Shirts ,Polo Shirts","Nowla, Bolaidi, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2012
RGR Sweater Ltd.,Sweater,5.0,2500.0,538,3776676,"Sweaters ,Knitted Dress ,Cardigans ,Knitted Tops","Madhakhala, Sreepur, Gazipur, Gazipur",Gazipur,Gazipur,1997
Rhine Dress Ltd.,Knit,5.0,245.0,111,312000,"T-Shirts ,Polo Shirts ,Tank Tops","Talla Road, Khapur, Narayanganj, Fatullah",Narayanganj,Fatullah,2011
Rhymer Apparel Ltd.,Woven,5.0,515.0,200,100000,"Shirts ,Ladies Blouses ,Kids Shirts","2/D, Darus Salam Road, Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,2003
Rhythm Apparels Ltd.,Woven,5.0,350.0,252,60000,"Shirts ,Ladies Blouses ,Payjama Sets ,Jackets","686 CDA R/A (3rd Floor), Road # 20, Chittagong, Agrabad",Chittagong,Agrabad,1997
Rhythm Fashion Ltd.,Woven,5.0,700.0,639,160000,"Shirts ,Ladies Blouses ,Jackets ,Skirts","686, CDA R/A (2nd Floor), Road # 20, Chittagong, Agrabad",Chittagong,Agrabad,2004
Rhythm Garments Ltd.,Knit,5.0,300.0,142,70000,"Shirts ,Blouses ,Pants ,Shorts","686, CDA R/A (2nd Floor), Road # 20, Chittagong, Agrabad",Chittagong,Agrabad,1995
Richman Apparels Ltd.,Woven,5.0,220.0,118,26800,"Shirts ,Pants","Gha-36/M, SA Complex (3rd & 4th Fl), Pragoti Sarani, Middle Badda, Dhaka, Badda",Dhaka,Badda,2010
Richway Fashions Ltd.,Sweater,5.0,57.0,28,33500,Sweater,"Dhour (Sumoner Tek), Nur Modina Jam-E-Moshjid Road, Dhaka, Turag",Dhaka,Turag,2015
Richway Ltd.,Sweater,5.0,16.0,12,14352,Sweater,"House # 6, Road # 6, Ward # 2, Kamarpara, Dhaka, Turag",Dhaka,Turag,2014
Rider Fashions Ltd.,Knit,5.0,300.0,129,45000,"Shirts ,Overalls ,Pants","NA, Dhaka","NA,",Dhaka,1999
Ridwan Fashions Ltd.,Knit,5.0,250.0,132,65000,"T-Shirts ,Polo Shirts ,Trousers ,Shorts","Kabir Market, 285, Asadganj, Chittagong, Asadgonj",Chittagong,Asadgonj,2007
Rime Apparels Ltd.,Woven,5.0,330.0,110,78000,"Shirts ,Jackets ,Trousers","Plot # 4, Road # 1, Block - D, Section # 11, Dhaka, Mirpur",Dhaka,Mirpur,2000
Rimi Apparels Ltd.,Sweater,5.0,650.0,246,291000,,"Rajob Ali Super Market, 83, Dhaka, B. Baria",Dhaka,B. Baria,2015
RIO Design Ltd.,,,,0,120000,"Shirts ,Jackets ,Trousers","Inds. Plot # 3 (1st - 5th Fl), Milk Vita Road, Section # 7, Dhaka","Inds. Plot # 3 (1st - 5th Fl), Milk Vita Road, Section # 7",Dhaka,2019
RIO Fashion Wear Ltd.,Woven,5.0,1200.0,647,225000,"Shirts ,Blouses ,Pants ,Shorts","Inds. Plot # 3 (5th - 12th Floor), Milk Vita Road, Section # 7, Dhaka, Mirpur",Dhaka,Mirpur,2005
Ripon Knitwear Ltd.,Knit,5.0,2100.0,1150,1574737,"T-Shirts ,Polo Shirts ,Pant ,Hoodie","Jarun, Konabari, Gazipur, Gazipur",Gazipur,Gazipur,2008
Rishal Garments Ltd.,Woven,5.0,890.0,530,400000,"Shirts ,Shorts ,Trousers ,Dress","Sharoj Tower, Plot # M-4/2, Section # 14, Dhaka, Mirpur",Dhaka,Mirpur,1984
Rising Apparels Ltd.,Woven,5.0,1060.0,406,143529,"Shirts ,Blouses ,Trousers ,Skirts","Plot # I/10, Block # K, Rupnagar I/A, Section # 2, Dhaka, Mirpur",Dhaka,Mirpur,1999
Rising Fashions Ltd.,Woven,5.0,333.0,215,74750,"Ladies Blouses ,Jackets ,Pants","Plot # I/16, Block - K, Rupnagar, Section # 2, Dhaka, Mirpur",Dhaka,Mirpur,1997
Rising Knit Textiles Ltd.,Knit,5.0,1371.0,250,600000,"T-Shirts ,Polo Shirts","Nayadighi, Manikganj, Saturia",Manikganj,Saturia,2008
Rita Textile (Pvt) Ltd.,Knit,5.0,480.0,150,310000,"T-Shirts ,Polo Shirts ,Sweat Shirts","Dag # 371 & 372, Gazipur, Konabari",Gazipur,Konabari,2004
Ritz Fashions Ltd.,Woven,5.0,400.0,150,40000,"Jackets ,Coveralls ,Trousers","926, Gobindapur, Dhaka, Demra",Dhaka,Demra,1998
Ritzy Apparels Ltd.,Knit,5.0,850.0,301,1200000,"Panties ,Sleep Wears ,Cami ,Boxer","175/A1/186, Sk Mujib Road, Chittagong, Agrabad",Chittagong,Agrabad,2005
Ritzy Knit Designs Ltd.,Knit,5.0,600.0,131,1200000,"Ladies Sleepwears ,Panties ,Camy","3325/3898, Alankar Shopping Complex, Chittagong, Pahartali",Chittagong,Pahartali,2008
River Side Sweaters Ltd.,Sweater,5.0,950.0,280,208350,"Sweaters ,Cardigans ,Jumpers ,Hoody","Hesnabad , Equria, Dhaka Jute Mills, Keranigonj, Dhaka, Dhaka",Dhaka,Dhaka,2003
Riverside Apparels Ltd.,Knit,5.0,350.0,111,60000,"Shirts ,Polo-Shirts","A.T. M. Complex Southburischar, Dhoppol, Chittagong, Hatazari",Chittagong,Hatazari,2013
Riverstar Fashion Wear Ltd.,Knit,1.0,205.0,100,150000,"T-shirt ,Polo Shirt ,Hoodle ,Short","Gondrobpur, Rupshi,Rupganj, Narayanganj, Narayangonj",Narayanganj,Narayangonj,2017
Rizvi Fashions Ltd.,knit,1.0,,0,2500000,"T-Shirts ,Polo Shirts ,Boxer ,Lingerie","Anwar Jang Road 1 No. Kalam Bazar, Savar, Dhaka","Anwar Jang Road 1 No. Kalam Bazar, Savar",Dhaka,2014
RKH Apparels Ltd.,Woven,5.0,340.0,185,150000,"Shirts ,Pants","Holding # 482/5, East Dirasrom Bazar, Gazipur, Joydevpur",Gazipur,Joydevpur,2016
RKM Apparels Ltd.,Woven,1.0,352.0,120,300000,"Shirt ,T-Shirt ,Pant ,Polo Shirt","68/X, Fauzdarhat H/I Area, Pahartali, Chattogram, Chittagong",Chattogram,Chittagong,2022
RL Apparels Limited,Woven,1.0,2.0,87,2500000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Sha # 74, Uttar Badda, Badda, Dhaka, Dhaka",Dhaka,Dhaka,2023
RL Denim Limited,Woven,5.0,500.0,287,100000,"Jackets ,Pants","Plot # A/1 & 2, Block - B, BSCIC I/A, Shagorika Road, Chittagong, Fouzderhat",Chittagong,Fouzderhat,1997
RMM Knit Clothing Ltd.,Sweater,5.0,415.0,237,180000,Sweaters,"Plot # 7, Aliganj, Kutubpur, Narayanganj, Fatullah",Narayanganj,Fatullah,2008
RMM Sweaters Ltd.,Sweater,5.0,500.0,220,300000,Sweaters,"Nagarchar, Rajpoolbaria, Dhaka, Savar",Dhaka,Savar,2005
RMW Fashionwear Ltd.,Knit,5.0,150.0,67,84000,"T-Shirts ,Polo Shirts","Binairchara, Duptara, Narayanganj, Araihazar",Narayanganj,Araihazar,2012
RNP Export & Import Ltd.,Woven,5.0,300.0,95,30000,"Shirts ,Pants","Selina Tower, Islam Bag, Dhakin Khan, Dhaka, Uttara",Dhaka,Uttara,2013
Rnsco Sweaters Ltd.,Sweater,5.0,470.0,250,144000,Sweaters,"Plot # 212, Baizid Bostami Road, Chittagong, Chittagong",Chittagong,Chittagong,2003
Roar Fashion Ltd.,Sweater,1.0,1375.0,560,350000,,"Dakhila Madrasha Road 9 No Word, Kathali, Valuka, Mymensingh, Mymensingh",Mymensingh,Mymensingh,2017
Robin Knit Wear Ltd.,Knit,5.0,0.0,0,0,Knit Items,"Vulta, Narayanganj, Rupganj",Narayanganj,Rupganj,2003
Robintex (Bangladesh) Ltd.,Knit,5.0,2812.0,870,1040000,"T-Shirts ,Polo Shirts ,Trousers","Vulta, Narayanganj, Rupganj",Narayanganj,Rupganj,1996
Rocky Knitting Mills (Pvt) Ltd.,Knit,5.0,350.0,122,208000,"T-Shirts ,Singlet","Dahargaon, Balirpara, Narayanganj, Rupganj",Narayanganj,Rupganj,2000
Roddur Apparels Ltd.,Woven,1.0,500.0,0,80000,,"45, Badey, Kalmeshore, National University, Gazipur, Gazipur",Gazipur,Gazipur,2016
Rohan Fashion,Woven,1.0,1.0,220,130000,"Shirt ,Pant ,T-shirt ,Polo Shirt","Bhuigar, Rupayon Maingate (1), Fatullah, Narayangonj, Narayangonj",Narayangonj,Narayangonj,2022
Romo Design Today,Woven,1.0,1.0,290,500000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Mouchak, Kaliakair, Gazipur, Gazipur",Gazipur,Gazipur,2022
Romo Fashion,Woven,1.0,395.0,278,400000,"Shirt ,Pant ,Jacket ,T-shirt","House # 01, Road # 01, Turag Housing, Beribadh, Mohammadpur, Dhaka, Dhaka",Dhaka,Dhaka,2022
Romo Fashion Today Ltd.,Knit,5.0,800.0,450,120000,"T-Shirts ,Polo Shirts","Mouchak, Kaliakoir, Gazipur, Gazipur",Gazipur,Gazipur,2011
Rong Rui Garments BD Ltd.,Sweater,1.0,383.0,674,8500000,Sweater,"Tepirbari, Mawna, Sreepur, Gazipur, Gazipur",Gazipur,Gazipur,2023
Rongdhonu Sweater Ltd.,Sweater,5.0,425.0,478,30000,"Sweaters ,Cardigans ,Pullovers","North Khailkoir, Battala Road, National University, Gazipur","North Khailkoir, Battala Road, National University",Gazipur,2008
Ronson Knitting Ltd.,Sweater,5.0,450.0,350,60000,Sweaters,"45/47, Hoque Chamber, Strand Road, Chittagong, Majhirghat",Chittagong,Majhirghat,1994
Root Apparels Ltd.,Woven,5.0,490.0,0,11000,"Denim Shirts ,Denim Jackets ,DenimJeans ,Denim Pants","Razzak Tower, Dag # 901, 7/1, Uttara Khan, Dhaka, Dhaka",Dhaka,Dhaka,2007
Roots Fashions Ltd.,Sweater,5.0,292.0,272,48000,Sweaters,"Mazar Co-operative Market (2nd Floor), 1, Darussakam Road, Sec # 1, Dhaka, Mirpur",Dhaka,Mirpur,1994
Rose & Sons Fashion Ltd.,Sweater,1.0,120.0,50,75000,"Cardigan ,Pullover ,V-Neck ,Kids Sweater","Word # 14, Block # A, Holding # 214/1, Adepasha, National University, Gazipur, Gazipur",Gazipur,Gazipur,2019
Rose Bally Toy Industries Limited,Woven,1.0,4.0,113,50000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Road # 04, Plot # 16, Chittagong EPZ, Chittagong, Chittagong",Chittagong,Chittagong,2022
Rose Fashion Ltd.,Woven,5.0,4600.0,1333,200000,"Jackets ,Pants ,Overalls","Vogra, Gazipur, Joydevpur",Gazipur,Joydevpur,1997
Rose Garden Apparels Ltd.,Knit,5.0,230.0,200,120000,"T-Shirts ,Polo Shirts","Nayamati Road, Kutubpur, (Opposite Osman Ali Stadium), Narayanganj, Fatullah",Narayanganj,Fatullah,2014
Rose Intimates Ltd.,Knit,1.0,0.0,0,0,,"Baroipara, Ashulia, Savar, Dhaka, Dhaka, Dhaka",Dhaka,Dhaka,2016
Rose Sweater Ltd.,Sweater,5.0,1500.0,900,160000,"Pullovers ,Sweaters","Bejoy Sarak, Moghar Khal, Gazipur, Joydevpur",Gazipur,Joydevpur,2002
Rose Sweaters Ltd. (U-2),Sweater,5.0,480.0,250,120000,Sweaters,"Vogra, Bypass Bishan Road, Gazipur, Joydevpur",Gazipur,Joydevpur,2009
Rose Valley Fashion Ltd.,Knit Composite,1.0,129.0,57,300000,"T-shirt ,Jogger ,Jacket ,Dress","Monipur, Bhabanipur, Gazipur Sadar, Gazipur, Gazipur",Gazipur,Gazipur,2021
Rowa Fashions Ltd.,Knit,5.0,750.0,250,250000,"Shirts ,T-Shirts ,Polo Shirts","Chowdhury Bari, Gazipur, Vogra",Gazipur,Vogra,2011
Rownak Textile Mills Limited,Woven,1.0,222.0,259,200000,"Shirt ,Pant ,T-Shirt ,polo Shirt","Barpa P.O : Rupshi, Rupganj, Narayangonj, Narayangonj",Narayangonj,Narayangonj,2022
Rowshan Apparels Ltd.,Woven,5.0,698.0,497,108000,"Jackets ,Pants ,Skirts","5773, Dakhin Khan, Chairman Bari, Dhaka, Uttara",Dhaka,Uttara,2006
Royal Fashions Limited,Sweater,5.0,205.0,220,36000,Sweaters,"241/74, Faidabad Cowrasta, Dhaka, Dakkhinkhan",Dhaka,Dakkhinkhan,2012
Rozi Fashion Ltd.,Woven,1.0,300.0,250,150000,"Shirt ,Pant ,Jacket","Block # C/9/1, Autpara, Chandana, Banarupa Road, Bason, Gazipur, Gazipur",Gazipur,Gazipur,2022
RP Creations & Apparels Ltd.,Woven,1.0,3.0,106,,"Shirt ,Pant ,T-Shirt ,Jacket","Jamgora, Yearpur, Holding # 1/10/1, Road # 04, Block # B, Zirabo, Ashulia, Dhaka, Dhaka, Dhaka",Dhaka,Dhaka,2021
RPM Garments Ltd.,Knit,5.0,250.0,115,200000,"T-Shirts ,Polo Shirts","Mosharaf Tower (3rd Floor), Rajbari Road, Gazipur, Joydevpur",Gazipur,Joydevpur,2010
RR Apparels,Knit,1.0,140.0,100,350000,"T-Shirt ,Polo Shirt ,Jacket ,Payjama","Mouchak, Kaliakair, Gazipur, Dhaka",Gazipur,Dhaka,2022
Rudmila Knitwear Ltd.,Knit,5.0,650.0,260,650000,"T-Shirts ,Polo Shirts ,Pants ,Trousers","Kabirpur, Dhaka, Savar",Dhaka,Savar,2010
Ruhila Garments,Woven,5.0,450.0,215,100000,"Overalls ,Jackets ,Pants","A/1, Block # C, Mazar Road, Gabtoli, Dhaka, Mirpur",Dhaka,Mirpur,1989
Ruhul Garments Ltd.,Woven,5.0,250.0,130,40000,"Shirts ,Pants","Habib Khan Tower, 326 Sontak Road, South Kajla, Dhaka, Jatrabari",Dhaka,Jatrabari,2015
Ruma Garments Wear Ltd.,Woven,5.0,450.0,250,15000,"Shirts ,Shorts ,Jogging Suits","26, Simanta Plaza, Road # 3, Section # 11, Dhaka, Mirpur",Dhaka,Mirpur,1999
Rumana Fashion Ltd.,Woven,5.0,836.0,212,30000,"Jackets ,Trousers ,Suits ,Shorts","Choydana, Gazipur, Gazipur",Gazipur,Gazipur,1997
Running Fashion Ltd. (Unit-2),Sweater,5.0,450.0,265,60000,Sweaters,"C-124-125, BSCIC I/A, Gazipur, Tongi",Gazipur,Tongi,2009
Running Fashion Wear Ltd.,Woven,5.0,325.0,130,36000,"Skirts ,Jogging Suits","686, CDA R/A, Road # 20, Chittagong, Agrabad",Chittagong,Agrabad,1992
Rupa Apparels Ltd.,Knit,5.0,515.0,465,70000,Sweaters,"380/1-3, TV Avenue, East Rampura, Dhaka, Rampura",Dhaka,Rampura,1998
Rupa Fabrics Ltd.,Knit,5.0,664.0,325,500000,"T-Shirts ,Polo Shirts ,Trousers ,Jersey","Kunia, Gazipur, Board Bazar",Gazipur,Board Bazar,2007
Rupa Knitwear (Pvt) Ltd.,Sweater,5.0,1615.0,1530,200000,Sweaters,"Kunia, Gazipur, Board Bazar",Gazipur,Board Bazar,2000
Rupa Sweater (Pvt.) Ltd.,Sweater,5.0,1182.0,995,150000,Sweaters,"380/1-2 East Rampura, Dhaka, Rampura",Dhaka,Rampura,1992
Rupa Woolwear Ltd.,Sweater,5.0,550.0,350,0,"Sweaters ,Pullovers ,Jumpers","380/1-2, East Rampura, Dhaka, Rampura",Dhaka,Rampura,2005
Rupali Garments,Woven,5.0,120.0,110,25000,"Jackets ,Jogging suits ,Dresses","75, Agrabadh Ba/A Chittagong, Chittagong, Double Mooring",Chittagong,Double Mooring,1988
Rupashi Fabrics Complex (Pvt) Ltd.,Knit,5.0,1400.0,415,120000,"T-Shirts ,Polo Shirts ,Sweat Shirts ,Tank Top","Lamapara, Kutubpur, Narayanganj, Fatullah",Narayanganj,Fatullah,1995
Rupashi Knit Wears Ltd.,Knit,5.0,1400.0,415,1200000,"T-Shirts ,Polo Shirts ,Tank Tops","Lamapara, Kutubpur, Narayanganj, Fatullah",Narayanganj,Fatullah,1996
Rupkatha Apparels Ltd.,Woven,1.0,300.0,186,100000,"Shirt ,Pant ,Jacket ,Trouser","Raj Place Singair Road, Padma Moor (Rishipara), Hemayetpur, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2022
Russel Apparels,Woven,5.0,1250.0,814,416000,"Shirts ,Pants ,Jackets","Kathali, Mymensing, Bhaluka",Mymensing,Bhaluka,2012
Russel Garments,Woven,5.0,3000.0,4668,833000,"Shirts ,Trousers ,Scooer ,Shorts","56/1, S.M. Melah Road, Narayanganj, Tanbazar",Narayanganj,Tanbazar,1985
Ryan Knit Ltd.,Sweater,5.0,350.0,200,50000,"Sweaters ,Cardigans ,Pullovers","1677, Air Port Road, South Halisahar, Chittagong, Bandar",Chittagong,Bandar,2003
S & S Swimwear Ltd.,Woven,5.0,300.0,150,42000,"Ski Pants ,Swimwears ,Short Pants ,Jackets","1293, D.T. Road (3rd & 4th Floor), Chittagong, Dhanialapara",Chittagong,Dhanialapara,2007
S M Sourcing,Knit,1.0,1.0,120,5000000,"T-Shirt ,Polo Shirt","Bailmail, Konabari, Gazipur Sadar, Gazipur, Gazipur",Gazipur,Gazipur,2022
S Plus Composite Ltd.,knit,5.0,10.0,94,125000,"Shirts ,Pants ,T-Shirts","South Panishail, Kashimpur, Gazipur","South Panishail, Kashimpur",Gazipur,2013
S-21 Apparels Ltd.,Woven,5.0,715.0,572,240000,"Shirts ,Jackets ,Pants","Holding # 85 & 98, A to Z Building, Zirabo, Dhaka, Savar",Dhaka,Savar,2005
S-Six Fashions (Pvt) Ltd.,Woven,5.0,550.0,192,80000,"Shirts ,Pants ,Jackets ,Ladies Dress","River View Complex (6th Floor), 55/1, S.M. Maleh, Narayanganj, Tanbazar",Narayanganj,Tanbazar,2002
S. Alam Knitting,Knit,5.0,150.0,327,40000,"T-Shirts ,Polo Shirts","Jatrapur, Kurigram, Kulgaon",Kurigram,Kulgaon,2012
S. Nahar Garments & Textile Mills Ltd.,Woven,5.0,700.0,400,150000,"Shirts ,Blouses","34, Kazi Nazrul Islam Avenue, Dhaka, Kawran Bazar",Dhaka,Kawran Bazar,1988
